Country,CompanyCount
United States of America,231
Japan,149
United Kingdom,74
France,23
Canada,21
Germany,19
Sweden,17
Poland,13
South Korea,13
Australia,11
China,11
Russia,11
Finland,10
Denmark,7
Czech Republic,6
Ukraine,6
Netherlands,6
Spain,5
Norway,3
Austria,3
Hungary,3
Italy,3
Croatia,3
Bulgaria,3
Turkey,2
Malaysia,2
Slovenia,2
Belgium,2
Romania,2
India,2
Slovakia,2
Chile,2
New Zealand,2
Brazil,1
Netherlands, 2
Belarus,1
Singapore,1
Europe,1
Sweden,1
Mexico,1
Malta,1
Vietnam,1
Canada,1
Philippines,1
Serbia,1
Argentina,1
South Korea,1
Greece,1
South Africa,1
Iceland,1
Taiwan,1
